# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
51 -3.1282042544634590e-02 9.9541073385818124e-01 7.8195184150180630e-01 1.3272532780057029e+00 4.7971362459218969e-01 -3.1217878688653133e-01
52 -6.1777462856832790e-02 9.8192465371815163e-01 8.8324910405337431e-01 1.3221491142867137e+00 -3.3181349164288658e-02 -4.4880073617834687e-01
53 -9.0781403927674434e-02 9.6036693950480911e-01 9.7675627138991750e-01 1.3016814663153458e+00 -5.2731278461510989e-01 -5.8411672563146466e-01
54 -1.1774501677484472e-01 9.3204778035913927e-01 1.0573046511430673e+00 1.2660722128563999e+00 -9.8376943275994333e-01 -7.1651910973621924e-01
55 -1.4233530545281614e-01 8.9866975039445340e-01 1.1216184825778894e+00 1.2157635550076076e+00 -1.3859571642152451e+00 -8.4446110952483711e-01
56 -1.6447493921709835e-01 8.6220782586846090e-01 1.1687510205515170e+00 1.1514047428014360e+00 -1.7217281230104489e+00 -9.6648423041878972e-01
57 -1.8435812721340097e-01 8.2477084962782510e-01 1.1999698675107044e+00 1.0738347180546597e+00 -1.9853423086504649e+00 -1.0812431409190411e+00
58 -2.0244072745077166e-01 7.8845457678569564e-01 1.2180974226207173e+00 9.8406122305091137e-01 -2.1784718648192385e+00 -1.1875274371181261e+00
59 -2.1940501082768732e-01 7.5519700070325446e-01 1.2266054810472773e+00 8.8323701063664362e-01 -2.3096630991803493e+00 -1.2842798281006311e+00
60 -2.3610173423908454e-01 7.2664642056615814e-01 1.2288326215509140e+00 7.7263385341081270e-01 -2.3922496024450126e+00 -1.3706103997079273e+00
61 -2.5347420632771922e-01 7.0405169278653146e-01 1.2274572327451019e+00 6.5361508634914722e-01 -2.4413445497253643e+00 -1.4458067437291704e+00
62 -2.7247068312146527e-01 6.8818238939157772e-01 1.2240933231441944e+00 5.2760742802772176e-01 -2.4708849263510091e+00 -1.5093398710816899e+00
63 -2.9395256652222668e-01 6.7928430194166500e-01 1.2188733834422534e+00 3.9607281132177147e-01 -2.4915946548982060e+00 -1.5608659558384115e+00
64 -3.1860639612501596e-01 6.7707305642543270e-01 1.2100862542771311e+00 2.6048091681427360e-01 -2.5102590724447538e+00 -1.6002240773058172e+00
65 -3.4686747417690128e-01 6.8076574883762309e-01 1.1940796311203521e+00 1.2228304381520649e-01 -2.5300987012793215e+00 -1.6274302355987968e+00
66 -3.7886214934644763e-01 6.8914769131157871e-01 1.1655853538024752e+00 -1.7112121747576838e-02 -2.5515843982111894e+00 -1.6426680088953096e+00
67 -4.1437436673395667e-01 7.0066878907151320e-01 1.1184565744430399e+00 -1.5636037234456290e-01 -2.5730251810389837e+00 -1.6462762952497054e+00
68 -4.5284017877737742e-01 7.1356194261627348e-01 1.0466486351461810e+00 -2.9420110477504230e-01 -2.5907741252731538e+00 -1.6387346368941611e+00
69 -4.9337165560804330e-01 7.2597434531935423e-01 9.4519332805446588e-01 -4.2947343814011185e-01 -2.5995544671911643e+00 -1.6206466596990721e+00
70 -5.3480921486319477e-01 7.3610173423908465e-01 8.1090489611373096e-01 -5.6112915882590975e-01 -2.5935240864778044e+00 -1.5927221751317235e+00
71 -5.7579900606940082e-01 7.4231560569423372e-01 6.4262066452512701e-01 -6.8824242815272840e-01 -2.5680676880633762e+00 -1.5557584877017452e+00
72 -6.1488982902832801e-01 7.4327412167411522e-01 4.4095340910991737e-01 -8.1001628247142499e-01 -2.5215447400861160e+00 -1.5106214292637923e+00
73 -6.5064231834779074e-01 7.3800884416892409e-01 2.0778307758418851e-01 -9.2578604021497746e-01 -2.4560572822974436e+00 -1.4582266049702173e+00
74 -6.8174193556432050e-01 7.2598142438967472e-01 -5.4107527284506442e-02 -1.0350198035531424e+00 -2.3768336388181348e+00 -1.3995212868330558e+00
75 -7.0710678118654746e-01 7.0710678118654757e-01 -3.4090122396914696e-01 -1.1373163023507635e+00 -2.2905823700039689e+00 -1.3354673327033140e+00
76 -7.2598142438967461e-01 6.8174193556432061e-01 -6.4706797720388853e-01 -1.2324003742769505e+00 -2.2036352192555073e+00 -1.2670254440199784e+00
77 -7.3800884416892398e-01 6.5064231834779085e-01 -9.6448865411098927e-01 -1.3201164069818092e+00 -2.1206565886564865e+00 -1.1951410078661440e+00
78 -7.4327412167411511e-01 6.1488982902832812e-01 -1.2820039145937103e+00 -1.4004200866610397e+00 -2.0442794235468167e+00 -1.1207317004462711e+00
79 -7.4231560569423372e-01 5.7579900606940038e-01 -1.5859782100562825e+00 -1.4733688029751419e+00 -1.9755303594085765e+00 -1.0446769625235175e+00
80 -7.3610173423908476e-01 5.3480921486319510e-01 -1.8620895800308608e+00 -1.5391110544859277e+00 -1.9145921885714727e+00 -9.6780939471748473e-01
81 -7.2597434531935423e-01 4.9337165560804347e-01 -2.0979725825706921e+00 -1.5978751831174625e+00 -1.8614287285440159e+00 -8.9090806353396457e-01
82 -7.1356194261627359e-01 4.5284017877737764e-01 -2.2858426724085601e+00 -1.6499577424258396e+00 -1.8160154228628653e+00 -8.1469365881757483e-01
83 -7.0066878907151309e-01 4.1437436673395633e-01 -2.4241107571014009e+00 -1.6957117745422465e+00 -1.7782236764155470e+00 -7.3982540079237047e-01
84 -6.8914769131157860e-01 3.7886214934644730e-01 -2.5173603392061925e+00 -1.7355352364003205e+00 -1.7476076385120771e+00 -6.6689956038419673e-01
85 -6.8076574883762309e-01 3.4686747417690145e-01 -2.5747154193952042e+00 -1.7698597790528865e+00 -1.7232959847199729e+00 -5.9644943013456975e-01
86 -6.7707305642543270e-01 3.1860639612501618e-01 -2.6072155877700927e+00 -1.7991400461604881e+00 -1.7039320042890298e+00 -5.2894656443740462e-01
87 -6.7928430194166489e-01 2.9395256652222695e-01 -2.6250745214380773e+00 -1.8238436205396535e+00 -1.6874005952968683e+00 -4.6480309652022461e-01
88 -6.8818238939157772e-01 2.7247068312146555e-01 -2.6356033388113782e+00 -1.8444417122166770e+00 -1.6701994789933963e+00 -4.0437493482167469e-01
89 -7.0405169278653146e-01 2.5347420632771922e-01 -2.6422511709144008e+00 -1.8614006487312147e+00 -1.6466939513631422e+00 -3.4796564232894800e-01
90 -7.2664642056615791e-01 2.3610173423908479e-01 -2.6447932433122752e+00 -1.8751741992240591e+00 -1.6088103533004221e+00 -2.9583080810245521e-01
91 -7.5519700070325391e-01 2.1940501082768751e-01 -2.6403274674686750e+00 -1.8861967386469725e+00 -1.5467238595745578e+00 -2.4818272968443564e-01
92 -7.8845457678569519e-01 2.0244072745077188e-01 -2.6245879875489706e+00 -1.8948772375601144e+00 -1.4507445589199097e+00 -2.0519523744420376e-01
93 -8.2477084962782454e-01 1.8435812721340125e-01 -2.5932224575234408e+00 -1.9015940465568899e+00 -1.3140119771452567e+00 -1.6700850630233585e-01
94 -8.6220782586846112e-01 1.6447493921709838e-01 -2.5429333547641493e+00 -1.9066904323378289e+00 -1.1350475623439158e+00 -1.3373371594016495e-01
95 -8.9866975039445296e-01 1.4233530545281628e-01 -2.4724523966323275e+00 -1.9104708146720590e+00 -9.1908148097669518e-01 -1.0545743689399126e-01
96 -9.3204778035913893e-01 1.1774501677484504e-01 -2.3831680763270309e+00 -1.9131976496584806e+00 -6.7755567368394776e-01 -8.2245636335811584e-02
97 -9.6036693950480934e-01 9.0781403927674434e-02 -2.2791460985040706e+00 -1.9150889044703943e+00 -4.2603441128110064e-01 -6.4147213463962904e-02
98 -9.8192465371815141e-01 6.1777462856832957e-02 -2.1664577618929721e+00 -1.9163160717202086e+00 -1.8138315826249685e-01 -5.1196990006062253e-02
99 -9.9541073385818124e-01 3.1282042544634549e-02 -2.0520186583889268e+00 -1.9170026772596347e+00 4.0844574486362584e-02 -4.3418096230651182e-02
100 -1.0000000000000000e+00 1.2246467991473532e-16 -1.9423031296824591e+00 -1.9172232431555893e+00 2.2826598750145471e-01 -4.0823707039740108e-02
101 -9.9541073385818124e-01 -3.1282042544634313e-02 -1.8422767426102344e+00 -1.9170026772596358e+00 3.7272878001296156e-01 -4.3418096230651036e-02
102 -9.8192465371815163e-01 -6.1777462856832728e-02 -1.7547763207564642e+00 -1.9163160717202083e+00 4.7080347835129144e-01 -5.1196990006061933e-02
103 -9.6036693950480934e-01 -9.0781403927674198e-02 -1.6804518958936812e+00 -1.9150889044703949e+00 5.2389407383568143e-01 -6.4147213463962946e-02
104 -9.3204778035913916e-01 -1.1774501677484482e-01 -1.6182586392151592e+00 -1.9131976496584810e+00 5.3792584175585356e-01 -8.2245636335811029e-02
105 -8.9866975039445340e-01 -1.4233530545281609e-01 -1.5663127246369435e+00 -1.9104708146720593e+00 5.2240397258691285e-01 -1.0545743689399156e-01
106 -8.6220782586846079e-01 -1.6447493921709849e-01 -1.5227557193258916e+00 -1.9066904323378304e+00 4.8872248805081425e-01 -1.3373371594016489e-01
107 -8.2477084962782499e-01 -1.8435812721340111e-01 -1.4862569907918073e+00 -1.9015940465568901e+00 4.4795461920496266e-01 -1.6700850630233524e-01
108 -7.8845457678569608e-01 -2.0244072745077149e-01 -1.4560125791498992e+00 -1.8948772375601142e+00 4.0876366911889028e-01 -2.0519523744420343e-01
109 -7.5519700070325468e-01 -2.1940501082768718e-01 -1.4314289403462550e+00 -1.8861967386469725e+00 3.7619256071562102e-01 -2.4818272968443497e-01
110 -7.2664642056615802e-01 -2.3610173423908462e-01 -1.4118027584295303e+00 -1.8751741992240591e+00 3.5170642108387257e-01 -2.9583080810245455e-01
111 -7.0405169278653146e-01 -2.5347420632771928e-01 -1.3960977094088416e+00 -1.8614006487312142e+00 3.3417532603078348e-01 -3.4796564232894839e-01
112 -6.8818238939157772e-01 -2.7247068312146538e-01 -1.3826453457775105e+00 -1.8444417122166774e+00 3.2103188467676197e-01 -4.0437493482167358e-01
113 -6.7928430194166500e-01 -2.9395256652222645e-01 -1.3686162853179609e+00 -1.8238436205396535e+00 3.0896700956379702e-01 -4.6480309652022223e-01
114 -6.7707305642543270e-01 -3.1860639612501557e-01 -1.3494129165807098e+00 -1.7991400461604887e+00 2.9402943719037655e-01 -5.2894656443740351e-01
115 -6.8076574883762309e-01 -3.4686747417690161e-01 -1.3184120714660961e+00 -1.7698597790528869e+00 2.7141409856855386e-01 -5.9644943013456975e-01
116 -6.8914769131157871e-01 -3.7886214934644752e-01 -1.2674936899642939e+00 -1.7355352364003207e+00 2.3533689831201596e-01 -6.6689956038419718e-01
117 -7.0066878907151320e-01 -4.1437436673395656e-01 -1.1884944334182952e+00 -1.6957117745422463e+00 1.7926690366058054e-01 -7.3982540079237069e-01
118 -7.1356194261627326e-01 -4.5284017877737687e-01 -1.0752234797066695e+00 -1.6499577424258411e+00 9.6584307830370975e-02 -8.1469365881757394e-01
119 -7.2597434531935401e-01 -4.9337165560804264e-01 -9.2521627442379184e-01 -1.5978751831174640e+00 -1.8432719532990038e-02 -8.9090806353396212e-01
120 -7.3610173423908465e-01 -5.3480921486319433e-01 -7.4033272780401604e-01 -1.5391110544859290e+00 -1.6950611840387972e-01 -9.6780939471748351e-01
121 -7.4231560569423372e-01 -5.7579900606940082e-01 -5.2580321705106725e-01 -1.4733688029751404e+00 -3.5744231973872614e-01 -1.0446769625235182e+00
122 -7.4327412167411511e-01 -6.1488982902832778e-01 -2.8813871448949274e-01 -1.4004200866610408e+00 -5.7969474825827672e-01 -1.1207317004462698e+00
123 -7.3800884416892398e-01 -6.5064231834779063e-01 -3.2937567975633832e-02 -1.3201164069818108e+00 -8.3051363320350469e-01 -1.1951410078661429e+00
124 -7.2598142438967517e-01 -6.8174193556432017e-01 2.3632863002951424e-01 -1.2324003742769523e+00 -1.1015285592529174e+00 -1.2670254440199769e+00
125 -7.0710678118654791e-01 -7.0710678118654713e-01 5.1797890838801230e-01 -1.1373163023507646e+00 -1.3824795849919338e+00 -1.3354673327033129e+00
126 -6.8174193556432039e-01 -7.2598142438967495e-01 8.1043393375295603e-01 -1.0350198035531419e+00 -1.6619277329539457e+00 -1.3995212868330558e+00
127 -6.5064231834779085e-01 -7.3800884416892387e-01 1.1100212721458020e+00 -9.2578604021497679e-01 -1.9280194017380934e+00 -1.4582266049702182e+00
128 -6.1488982902832767e-01 -7.4327412167411522e-01 1.4093863423041821e+00 -8.1001628247142432e-01 -2.1695107183117481e+00 -1.5106214292637921e+00
129 -5.7579900606940049e-01 -7.4231560569423372e-01 1.6974056307548053e+00 -6.8824242815272596e-01 -2.3771195727152019e+00 -1.5557584877017459e+00
130 -5.3480921486319510e-01 -7.3610173423908476e-01 1.9608788914568822e+00 -5.6112915882590930e-01 -2.5449347294861884e+00 -1.5927221751317238e+00
131 -4.9337165560804358e-01 -7.2597434531935423e-01 2.1874872398705780e+00 -4.2947343814011318e-01 -2.6713415359828305e+00 -1.6206466596990707e+00
132 -4.5284017877737665e-01 -7.1356194261627315e-01 2.3688984838299256e+00 -2.9420110477503997e-01 -2.7589940272378342e+00 -1.6387346368941609e+00
133 -4.1437436673395639e-01 -7.0066878907151320e-01 2.5028021588264084e+00 -1.5636037234456032e-01 -2.8138015591849865e+00 -1.6462762952497048e+00
134 -3.7886214934644741e-01 -6.8914769131157871e-01 2.5931337829524423e+00 -1.7112121747576318e-02 -2.8433877420340039e+00 -1.6426680088953096e+00
135 -3.4686747417690150e-01 -6.8076574883762320e-01 2.6485244764446532e+00 1.2228304381520701e-01 -2.8555870652528124e+00 -1.6274302355987968e+00
