# i, x, y, real(u), imag(u)
234 7.36913 -11.5305 0.0277982 -1.34309
235 7.37306 -11.5633 0.0115922 -1.35361
236 7.37285 -11.5918 0.000837754 -1.35795
237 7.36729 -11.6159 -0.00664766 -1.35865
238 7.35554 -11.636 -0.0130263 -1.35698
239 7.33722 -11.6526 -0.0204344 -1.35235
240 7.31246 -11.6668 -0.0311083 -1.34226
241 7.2819 -11.6794 -0.0474338 -1.32294
242 7.24663 -11.6916 -0.0717953 -1.29043
243 7.20818 -11.7046 -0.106236 -1.24198
244 7.16838 -11.7192 -0.15209 -1.17739
245 7.12923 -11.7361 -0.209774 -1.09968
246 7.09281 -11.7559 -0.278787 -1.01505
247 7.06107 -11.7788 -0.357834 -0.931885
248 7.03575 -11.8045 -0.444979 -0.859283
249 7.01822 -11.8329 -0.537765 -0.805423
250 7.00939 -11.8633 -0.633324 -0.776223
251 7.00966 -11.8949 -0.728505 -0.77447
252 7.01885 -11.9269 -0.819986 -0.799468
253 7.03624 -11.9586 -0.904439 -0.847117
254 7.06061 -11.9892 -0.978838 -0.910487
255 7.09031 -12.0181 -1.04086 -0.980941
256 7.1234 -12.045 -1.08927 -1.04969
257 7.15777 -12.0698 -1.12417 -1.10948
258 7.19127 -12.0927 -1.14692 -1.15596
259 7.2219 -12.1141 -1.15981 -1.18815
260 7.24789 -12.1345 -1.1656 -1.20792
261 7.2679 -12.1548 -1.16691 -1.21873
262 7.28102 -12.1758 -1.16568 -1.22419
263 7.2869 -12.1983 -1.16256 -1.22688
264 7.28572 -12.223 -1.1565 -1.22769
265 7.2782 -12.2505 -1.14472 -1.22595
266 7.26552 -12.2811 -1.12307 -1.22001
267 7.24925 -12.3147 -1.08684 -1.20821
268 7.23122 -12.351 -1.03191 -1.18996
269 7.21338 -12.3895 -0.955707 -1.16656
270 7.19768 -12.4291 -0.858053 -1.14155
271 7.18592 -12.4689 -0.741315 -1.12026
272 7.17963 -12.5075 -0.609955 -1.1089
273 7.17996 -12.5436 -0.46958 -1.11316
274 7.18762 -12.5761 -0.325894 -1.13696
275 7.20285 -12.6038 -0.183909 -1.18146
276 7.22539 -12.6259 -0.0476162 -1.24465
277 7.25456 -12.6421 0.0798743 -1.32148
278 7.28925 -12.6522 0.196014 -1.40473
279 7.32811 -12.6566 0.298628 -1.48638
