# i, x, y, real(u), imag(u)
215 7.74948 -11.2782 -0.537831 -0.245933
216 7.71893 -11.2655 -0.498985 -0.268133
217 7.68533 -11.2493 -0.445911 -0.290096
218 7.64898 -11.2312 -0.377966 -0.310592
219 7.61053 -11.2134 -0.296666 -0.328725
220 7.57087 -11.1977 -0.205653 -0.344344
221 7.53111 -11.1859 -0.109937 -0.35811
222 7.49252 -11.1796 -0.0148477 -0.371253
223 7.45638 -11.18 0.0749402 -0.385029
224 7.42393 -11.1876 0.155918 -0.40013
225 7.39622 -11.2028 0.225719 -0.416269
226 7.37406 -11.2254 0.282753 -0.432106
227 7.35789 -11.2546 0.325803 -0.445542
228 7.34779 -11.2893 0.353932 -0.454317
229 7.34339 -11.3281 0.366759 -0.456677
230 7.34394 -11.3696 0.364964 -0.451976
231 7.34831 -11.412 0.350557 -0.440829
232 7.35506 -11.4538 0.32692 -0.424893
233 7.36257 -11.4937 0.298282 -0.406292
234 7.36913 -11.5305 0.268951 -0.386955
235 7.37306 -11.5633 0.24258 -0.368096
236 7.37285 -11.5918 0.221744 -0.349978
237 7.36729 -11.6159 0.207839 -0.331895
238 7.35554 -11.636 0.201273 -0.312292
239 7.33722 -11.6526 0.201607 -0.28906
240 7.31246 -11.6668 0.207647 -0.259774
241 7.2819 -11.6794 0.217573 -0.222108
242 7.24663 -11.6916 0.228902 -0.1743
243 7.20818 -11.7046 0.238512 -0.115536
244 7.16838 -11.7192 0.242793 -0.0459881
245 7.12923 -11.7361 0.237964 0.0333657
246 7.09281 -11.7559 0.22051 0.121064
247 7.06107 -11.7788 0.187547 0.215399
248 7.03575 -11.8045 0.137033 0.314431
249 7.01822 -11.8329 0.0678278 0.41576
250 7.00939 -11.8633 -0.0202091 0.516165
251 7.00966 -11.8949 -0.125987 0.611323
252 7.01885 -11.9269 -0.246747 0.695811
253 7.03624 -11.9586 -0.377632 0.763633
254 7.06061 -11.9892 -0.511679 0.809346
255 7.09031 -12.0181 -0.640536 0.82945
256 7.1234 -12.045 -0.755808 0.823585
257 7.15777 -12.0698 -0.850914 0.794928
258 7.19127 -12.0927 -0.922458 0.749677
259 7.2219 -12.1141 -0.970875 0.695678
260 7.24789 -12.1345 -0.999939 0.640833
261 7.2679 -12.1548 -1.01544 0.591755
262 7.28102 -12.1758 -1.02352 0.552961
263 7.2869 -12.1983 -1.02925 0.526777
264 7.28572 -12.223 -1.0359 0.513472
265 7.2782 -12.2505 -1.04474 0.511357
266 7.26552 -12.2811 -1.05523 0.517263
267 7.24925 -12.3147 -1.06567 0.526613
268 7.23122 -12.351 -1.07364 0.533666
269 7.21338 -12.3895 -1.07673 0.531762
270 7.19768 -12.4291 -1.07299 0.513964
271 7.18592 -12.4689 -1.06121 0.473892
272 7.17963 -12.5075 -1.04079 0.40653
273 7.17996 -12.5436 -1.01134 0.308744
274 7.18762 -12.5761 -0.972065 0.179506
275 7.20285 -12.6038 -0.921534 0.0199687
276 7.22539 -12.6259 -0.857702 -0.166448
277 7.25456 -12.6421 -0.778451 -0.373863
278 7.28925 -12.6522 -0.682452 -0.593798
279 7.32811 -12.6566 -0.570061 -0.81557
280 7.36956 -12.6561 -0.443907 -1.02735
281 7.41199 -12.6517 -0.308957 -1.21787
282 7.45384 -12.6449 -0.171916 -1.37831
283 7.49371 -12.6374 -0.0401454 -1.50378
284 7.53046 -12.6309 0.0796048 -1.59385
285 7.5633 -12.6269 0.182226 -1.65199
286 7.59181 -12.6271 0.26483 -1.68408
287 7.61592 -12.6327 0.326881 -1.69653
288 7.63599 -12.6445 0.369768 -1.69465
289 7.65264 -12.6628 0.39653 -1.68205
290 7.66676 -12.6875 0.411637 -1.66041
291 7.67939 -12.7181 0.420072 -1.62968
292 7.69165 -12.7534 0.426804 -1.58873
293 7.7046 -12.7918 0.436118 -1.53599
294 7.71917 -12.8316 0.451175 -1.46985
295 7.73612 -12.8708 0.473676 -1.38909
296 7.75592 -12.9072 0.503817 -1.29312
297 7.77875 -12.9389 0.54042 -1.18206
298 7.80454 -12.9643 0.581253 -1.05662
299 7.8329 -12.9818 0.623425 -0.917917
300 7.86326 -12.9906 0.663793 -0.76743
301 7.89488 -12.9903 0.699286 -0.607001
302 7.92693 -12.9811 0.727111 -0.439024
303 7.95861 -12.9638 0.744888 -0.266587
304 7.98919 -12.9394 0.750791 -0.093412
305 8.01812 -12.9097 0.743696 0.0764063
306 8.04503 -12.8766 0.723327 0.238747
307 8.06985 -12.8422 0.690545 0.389794
308 8.09273 -12.8087 0.647229 0.526268
309 8.11408 -12.7781 0.596152 0.645629
310 8.13452 -12.7521 0.540496 0.746228
311 8.15482 -12.7321 0.483276 0.827436
312 8.17581 -12.719 0.42673 0.889691
313 8.19831 -12.7131 0.372146 0.934203
314 8.22303 -12.7143 0.320075 0.962863
315 8.25052 -12.7218 0.270152 0.978224
316 8.28107 -12.7345 0.221503 0.982696
317 8.31467 -12.7507 0.172897 0.978188
318 8.35102 -12.7688 0.12305 0.965646
319 8.38947 -12.7866 0.0707136 0.944898
320 8.42913 -12.8023 0.0150563 0.914721
321 8.46889 -12.8141 -0.0440723 0.873283
322 8.50748 -12.8204 -0.106094 0.818766
323 8.54362 -12.82 -0.170023 0.749999
324 8.57607 -12.8124 -0.235038 0.666929
325 8.60378 -12.7972 -0.301029 0.570836
326 8.62594 -12.7746 -0.368827 0.464273
327 8.64211 -12.7454 -0.439962 0.350834
328 8.65221 -12.7107 -0.515992 0.234782
329 8.65661 -12.6719 -0.59769 0.120513
330 8.65606 -12.6304 -0.684341 0.0119598
331 8.65169 -12.588 -0.773457 -0.0879652
332 8.64494 -12.5462 -0.860979 -0.177749
333 8.63743 -12.5063 -0.941864 -0.257417
334 8.63087 -12.4695 -1.01082 -0.328397
335 8.62694 -12.4367 -1.06295 -0.393207
336 8.62715 -12.4082 -1.09413 -0.454966
337 8.63271 -12.3841 -1.1011 -0.516831
338 8.64446 -12.364 -1.08131 -0.581188
339 8.66278 -12.3474 -1.03338 -0.648765
340 8.68754 -12.3332 -0.957253 -0.718651
341 8.7181 -12.3206 -0.854154 -0.788249
342 8.75337 -12.3084 -0.727171 -0.853599
343 8.79182 -12.2954 -0.581394 -0.910191
344 8.83162 -12.2808 -0.423705 -0.953912
345 8.87077 -12.2639 -0.262008 -0.981817
346 8.90719 -12.2441 -0.104107 -0.9927
347 8.93893 -12.2212 0.0435061 -0.987316
