# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
117 -7.0066878907151320e-01 -4.1437436673395656e-01 -7.5582116507545727e-01 -1.4534355787457667e+00 -9.5265968342193497e-01 -5.3630062785826915e-01
118 -7.1356194261627326e-01 -4.5284017877737687e-01 -5.9983693682168504e-01 -1.4272442556343816e+00 -1.0117712102824505e+00 -5.2039619487836986e-01
119 -7.2597434531935401e-01 -4.9337165560804264e-01 -4.2294855371454576e-01 -1.3938132360934767e+00 -1.0742071299814977e+00 -5.0627353786404894e-01
120 -7.3610173423908465e-01 -5.3480921486319433e-01 -2.3131867352494070e-01 -1.3526363982234595e+00 -1.1397597487052860e+00 -4.9404964883449121e-01
121 -7.4231560569423372e-01 -5.7579900606940082e-01 -3.2465909058499456e-02 -1.3032929228544996e+00 -1.2095875850436246e+00 -4.8378097817718829e-01
122 -7.4327412167411511e-01 -6.1488982902832778e-01 1.6716321942321252e-01 -1.2454608124749296e+00 -1.2857803561467791e+00 -4.7546078861203861e-01
123 -7.3800884416892398e-01 -6.5064231834779063e-01 3.6408397129888187e-01 -1.1789296738897210e+00 -1.3704444173671857e+00 -4.6901810460960064e-01
124 -7.2598142438967517e-01 -6.8174193556432017e-01 5.5830588844373508e-01 -1.1036124723823970e+00 -1.4645861562943336e+00 -4.6431837555930139e-01
125 -7.0710678118654791e-01 -7.0710678118654713e-01 7.5227228910356470e-01 -1.0195559507723213e+00 -1.5670655088526855e+00 -4.6116593239543940e-01
126 -6.8174193556432039e-01 -7.2598142438967495e-01 9.4865521408420916e-01 -9.2694939869698290e-01 -1.6738511836242875e+00 -4.5930827232284349e-01
127 -6.5064231834779085e-01 -7.3800884416892387e-01 1.1479353291997065e+00 -8.2613145711378089e-01 -1.7778250312423760e+00 -4.5844215551026402e-01
128 -6.1488982902832767e-01 -7.4327412167411522e-01 1.3467965499133561e+00 -7.1759465171863202e-01 -1.8694060145010878e+00 -4.5822144226735106e-01
129 -5.7579900606940049e-01 -7.4231560569423372e-01 1.5380557194553854e+00 -6.0198736784973395e-01 -1.9381459951449205e+00 -4.5826654077799855e-01
130 -5.3480921486319510e-01 -7.3610173423908476e-01 1.7122286026596139e+00 -4.8011300934809703e-01 -1.9751048763097045e+00 -4.5817527575455408e-01
131 -4.9337165560804358e-01 -7.2597434531935423e-01 1.8601350824290233e+00 -3.5292612529440115e-01 -1.9753580861877609e+00 -4.5753492952496422e-01
132 -4.5284017877737665e-01 -7.1356194261627315e-01 1.9754924149719297e+00 -2.2152534161694670e-01 -1.9397224585900510e+00 -4.5593515142002633e-01
133 -4.1437436673395639e-01 -7.0066878907151320e-01 2.0564917746023270e+00 -8.7142998854061682e-02 -1.8749699648478375e+00 -4.5298138138572147e-01
134 -3.7886214934644741e-01 -6.8914769131157871e-01 2.1058746679124978e+00 4.8868528101728675e-02 -1.7923955627021575e+00 -4.4830839203842071e-01
135 -3.4686747417690150e-01 -6.8076574883762320e-01 2.1296851377725199e+00 1.8505376917682897e-01 -1.7052457322957228e+00 -4.4159352235565935e-01
136 -3.1860639612501546e-01 -6.7707305642543258e-01 2.1352941342071867e+00 3.1987420819290296e-01 -1.6258129786492093e+00 -4.3256915808152380e-01
137 -2.9395256652222640e-01 -6.7928430194166500e-01 2.1293648745068943e+00 4.5173119889644153e-01 -1.5629101674484192e+00 -4.2103401059944523e-01
138 -2.7247068312146527e-01 -6.8818238939157772e-01 2.1162915984420110e+00 5.7899141010724553e-01 -1.5201959901581137e+00 -4.0686275887778484e-01
139 -2.5347420632771922e-01 -7.0405169278653146e-01 2.0974357242448978e+00 7.0001436974791786e-01 -1.4956134912618895e+00 -3.9001364891408441e-01
