# i, x, y, real(q), imag(q)
273 7.17996 -12.5436 -0.122739 -1.56494
274 7.18762 -12.5761 -0.11928 -1.3334
275 7.20285 -12.6038 -0.170268 -1.00019
276 7.22539 -12.6259 -0.276243 -0.632839
277 7.25456 -12.6421 -0.406758 -0.338262
278 7.28925 -12.6522 -0.526433 -0.173178
279 7.32811 -12.6566 -0.611112 -0.135781
280 7.36956 -12.6561 -0.644331 -0.199764
281 7.41199 -12.6517 -0.614422 -0.333485
282 7.45384 -12.6449 -0.511351 -0.506859
283 7.49371 -12.6374 -0.324544 -0.693814
284 7.53046 -12.6309 -0.0372152 -0.874378
285 7.5633 -12.6269 0.378936 -1.03191
286 7.59181 -12.6271 0.954361 -1.14022
287 7.61592 -12.6327 1.63864 -1.13514
288 7.63599 -12.6445 2.15884 -0.953278
289 7.65264 -12.6628 2.31091 -0.691423
290 7.66676 -12.6875 2.2368 -0.482124
291 7.67939 -12.7181 2.09176 -0.341049
292 7.69165 -12.7534 1.93283 -0.238485
293 7.7046 -12.7918 1.77077 -0.150337
294 7.71917 -12.8316 1.6061 -0.0630625
295 7.73612 -12.8708 1.43704 0.0238685
296 7.75592 -12.9072 1.26295 0.0991705
297 7.77875 -12.9389 1.08424 0.139183
298 7.80454 -12.9643 0.903986 0.108236
299 7.8329 -12.9818 0.733337 -0.0324703
300 7.86326 -12.9906 0.599582 -0.291162
301 7.89488 -12.9903 0.538445 -0.609012
302 7.92693 -12.9811 0.563769 -0.897993
303 7.95861 -12.9638 0.659191 -1.10911
304 7.98919 -12.9394 0.797185 -1.23314
305 8.01812 -12.9097 0.952853 -1.27371
306 8.04503 -12.8766 1.10102 -1.23426
307 8.06985 -12.8422 1.22209 -1.11451
308 8.09273 -12.8087 1.28935 -0.908731
309 8.11408 -12.7781 1.26938 -0.601009
310 8.13452 -12.7521 1.10799 -0.160661
311 8.15482 -12.7321 0.719173 0.449125
312 8.17581 -12.719 0.0239183 1.18873
313 8.19831 -12.7131 -0.82193 1.77816
314 8.22303 -12.7143 -1.44643 1.97178
315 8.25052 -12.7218 -1.75431 1.88764
316 8.28107 -12.7345 -1.8528 1.68949
317 8.31467 -12.7507 -1.83408 1.45128
318 8.35102 -12.7688 -1.74415 1.19816
319 8.38947 -12.7866 -1.61207 0.944219
320 8.42913 -12.8023 -1.45543 0.701965
321 8.46889 -12.8141 -1.28664 0.487628
322 8.50748 -12.8204 -1.11373 0.323552
323 8.54362 -12.82 -0.942449 0.24033
324 8.57607 -12.8124 -0.780941 0.272396
325 8.60378 -12.7972 -0.648408 0.433051
326 8.62594 -12.7746 -0.574558 0.681866
327 8.64211 -12.7454 -0.577787 0.948794
328 8.65221 -12.7107 -0.653756 1.19096
329 8.65661 -12.6719 -0.788714 1.39906
330 8.65606 -12.6304 -0.970162 1.57636
331 8.65169 -12.588 -1.18929 1.72575
332 8.64494 -12.5462 -1.44121 1.84572
333 8.63743 -12.5063 -1.7251 1.92611
334 8.63087 -12.4695 -2.04518 1.94334
335 8.62694 -12.4367 -2.40312 1.84634
336 8.62715 -12.4082 -2.76352 1.5348
337 8.63271 -12.3841 -2.95717 0.871576
338 8.64446 -12.364 -2.71549 -0.0680596
339 8.66278 -12.3474 -2.13269 -0.882426
340 8.68754 -12.3332 -1.5434 -1.37528
341 8.7181 -12.3206 -1.06871 -1.61543
342 8.75337 -12.3084 -0.703991 -1.68764
343 8.79182 -12.2954 -0.426245 -1.64594
344 8.83162 -12.2808 -0.222767 -1.52761
345 8.87077 -12.2639 -0.0888701 -1.3636
346 8.90719 -12.2441 -0.0240167 -1.18514
347 8.93893 -12.2212 -0.0280139 -1.02518
348 8.96425 -12.1955 -0.0983216 -0.91843
349 8.98178 -12.1671 -0.223772 -0.896299
350 8.99061 -12.1367 -0.374398 -0.970616
351 8.99034 -12.1051 -0.508682 -1.11739
352 8.98115 -12.0731 -0.607361 -1.29525
353 8.96376 -12.0414 -0.681611 -1.47763
354 8.93939 -12.0108 -0.749626 -1.65502
355 8.90969 -11.9819 -0.821901 -1.82397
356 8.8766 -11.955 -0.899731 -1.98272
357 8.84223 -11.9302 -0.97685 -2.13128
358 8.80873 -11.9073 -1.03922 -2.27275
359 8.7781 -11.8859 -1.06442 -2.41362
360 8.75211 -11.8655 -1.01511 -2.55531
361 8.7321 -11.8452 -0.82905 -2.66441
362 8.71898 -11.8242 -0.432868 -2.60473
363 8.7131 -11.8017 0.106898 -2.20869
364 8.71428 -11.777 0.546295 -1.6244
365 8.7218 -11.7495 0.784665 -1.11818
366 8.73448 -11.7189 0.873631 -0.749571
367 8.75075 -11.6853 0.869149 -0.490598
368 8.76878 -11.649 0.809829 -0.314288
369 8.78662 -11.6105 0.721538 -0.205839
370 8.80232 -11.5709 0.628271 -0.160034
371 8.81408 -11.5311 0.551534 -0.172858
372 8.82037 -11.4925 0.513064 -0.237125
373 8.82004 -11.4564 0.532807 -0.337233
374 8.81238 -11.4239 0.62264 -0.443884
375 8.79715 -11.3962 0.770977 -0.516269
376 8.77461 -11.3741 0.939277 -0.530541
377 8.74544 -11.3579 1.09385 -0.505892
378 8.71075 -11.3478 1.22774 -0.479884
379 8.67189 -11.3434 1.34658 -0.476691
380 8.63044 -11.3439 1.45431 -0.503296
381 8.58801 -11.3483 1.5513 -0.555914
382 8.54616 -11.3551 1.63584 -0.624824
383 8.50629 -11.3626 1.70498 -0.697997
384 8.46954 -11.3691 1.75348 -0.762076
385 8.4367 -11.3731 1.76465 -0.800564
386 8.40819 -11.3729 1.68916 -0.786019
387 8.38408 -11.3673 1.41979 -0.67179
388 8.36401 -11.3555 0.910453 -0.451198
389 8.34736 -11.3372 0.364501 -0.229079
390 8.33324 -11.3125 -0.0359193 -0.0854325
391 8.32061 -11.2819 -0.289385 -0.0129131
392 8.30835 -11.2466 -0.43683 0.0147722
393 8.2954 -11.2082 -0.509227 0.0209701
394 8.28083 -11.1684 -0.52603 0.0188177
395 8.26388 -11.1292 -0.501231 0.0207071
396 8.24408 -11.0928 -0.448053 0.0344646
397 8.22125 -11.0611 -0.38076 0.066497
398 8.19546 -11.0357 -0.31589 0.120173
399 8.1671 -11.0182 -0.272103 0.19331
400 12.9074 -7.57983 0.838553 0.720721
401 12.8901 -7.55337 0.75557 0.570806
402 12.8651 -7.53137 0.719454 0.450384
403 12.8333 -7.51411 0.754084 0.37769
404 12.7963 -7.50154 0.865189 0.341465
405 12.7557 -7.49325 1.04699 0.319056
406 12.7133 -7.48848 1.28696 0.287443
407 12.671 -7.48616 1.56802 0.227685
408 12.6304 -7.48501 1.8709 0.126575
409 12.5931 -7.48359 2.1758 -0.0228347
410 12.5602 -7.48044 2.45705 -0.220752
411 12.5324 -7.47417 2.65247 -0.449798
412 12.51 -7.4636 2.60838 -0.646045
413 12.4929 -7.44784 2.16948 -0.683412
414 12.4805 -7.4264 1.55217 -0.552889
415 12.472 -7.3992 1.05469 -0.366091
416 12.4662 -7.36665 0.728936 -0.19658
417 12.4617 -7.32958 0.527022 -0.0644362
418 12.4573 -7.28926 0.402035 0.0286563
419 12.4515 -7.24726 0.323293 0.0884559
420 12.4433 -7.2054 0.273031 0.125673
421 12.4317 -7.1656 0.241104 0.155275
422 12.4161 -7.12972 0.221043 0.195078
423 12.3963 -7.09949 0.207178 0.262287
424 12.3723 -7.07632 0.192859 0.365963
425 12.3446 -7.06124 0.171572 0.492732
426 12.3136 -7.05477 0.142821 0.60953
427 12.2803 -7.05692 0.113182 0.691402
428 12.2457 -7.06716 0.0885474 0.73701
429 12.2106 -7.08446 0.0694652 0.75262
430 12.176 -7.10732 0.0519546 0.740837
431 12.1427 -7.13392 0.0286698 0.700398
432 12.1111 -7.16221 -0.0105456 0.629178
433 12.0816 -7.19007 -0.0776924 0.526277
434 12.0542 -7.21545 -0.185948 0.392501
435 12.0287 -7.2365 -0.344274 0.22812
436 12.0046 -7.25172 -0.550134 0.0358147
437 11.9813 -7.26008 -0.730191 -0.171895
438 11.9581 -7.26103 -0.760232 -0.327042
439 11.9342 -7.25461 -0.598014 -0.393684
440 11.9089 -7.2414 -0.364559 -0.407664
441 11.8818 -7.22251 -0.137132 -0.411056
442 11.8524 -7.19946 0.0573855 -0.417143
443 11.8208 -7.1741 0.210641 -0.42594
444 11.787 -7.14849 0.320515 -0.43299
445 11.7516 -7.1247 0.388771 -0.433689
446 11.7152 -7.10474 0.420103 -0.424356
447 11.6789 -7.09037 0.420692 -0.401611
448 11.6435 -7.083 0.396402 -0.360786
449 11.6101 -7.08357 0.351961 -0.296617
450 11.5798 -7.09255 0.294119 -0.209514
451 11.5534 -7.10986 0.235624 -0.117489
452 11.5314 -7.13491 0.186323 -0.0388451
453 11.5141 -7.16666 0.146187 0.0184947
454 11.5015 -7.20369 0.106644 0.0610688
455 11.4932 -7.24431 0.0583738 0.100175
456 11.4885 -7.2867 -0.00488058 0.148751
457 11.4862 -7.32903 -0.0834152 0.221247
458 11.485 -7.36958 -0.169589 0.334565
459 11.4836 -7.40689 -0.241207 0.513102
460 11.4804 -7.43981 -0.259965 0.783411
461 11.4742 -7.46761 -0.137141 1.18107
462 11.4636 -7.48999 0.189665 1.61428
463 11.4478 -7.50709 0.727707 1.89291
464 11.4264 -7.51946 1.22088 1.84603
465 11.3992 -7.52798 1.56479 1.62697
466 11.3666 -7.53382 1.7768 1.36117
467 11.3296 -7.53829 1.89039 1.09776
468 11.2893 -7.54275 1.92856 0.855409
469 11.2473 -7.54852 1.91322 0.646124
470 11.2054 -7.55674 1.86904 0.478575
471 11.1656 -7.56832 1.82207 0.357065
472 11.1297 -7.58387 1.79395 0.280511
473 11.0995 -7.60367 1.79275 0.242147
474 11.0763 -7.62766 1.80286 0.230433
475 11.0612 -7.65544 1.78837 0.229983
476 11.0548 -7.68639 1.73357 0.232541
477 11.0569 -7.71966 1.67112 0.244738
478 11.0672 -7.75432 1.6421 0.282505
479 11.0845 -7.78939 1.65991 0.361279
480 11.1073 -7.82397 1.71418 0.493358
481 11.1339 -7.85732 1.78441 0.687696
482 11.1622 -7.88889 1.85037 0.950857
483 11.1901 -7.91838 1.89875 1.28961
484 11.2154 -7.94576 1.92939 1.71498
485 11.2365 -7.97127 1.94835 2.23897
486 11.2517 -7.99537 1.97243 2.84271
487 11.2601 -8.01867 1.93715 3.34807
488 11.261 -8.0419 1.81047 3.39389
489 11.2546 -8.0658 1.61762 2.95977
490 11.2414 -8.09106 1.4836 2.40769
491 11.2225 -8.11821 1.41078 1.92205
492 11.1995 -8.14758 1.36667 1.5267
493 11.1741 -8.17925 1.32484 1.20876
494 11.1485 -8.21302 1.27606 0.954938
495 11.1247 -8.24843 1.2256 0.755875
496 11.1047 -8.28477 1.18866 0.603139
497 11.0904 -8.32114 1.18388 0.486808
498 11.083 -8.35651 1.22587 0.395908
499 11.0836 -8.38985 1.31063 0.320103
500 11.0926 -8.42017 1.40852 0.258526
501 11.1099 -8.44663 1.48073 0.222373
502 11.1349 -8.46863 1.52178 0.226858
503 11.1667 -8.48589 1.55019 0.27841
504 11.2037 -8.49846 1.5774 0.376001
505 11.2443 -8.50675 1.59907 0.515261
506 11.2867 -8.51152 1.60076 0.689036
507 11.329 -8.51384 1.56425 0.886607
508 11.3696 -8.51499 1.47241 1.09345
509 11.4069 -8.51641 1.3095 1.29045
510 11.4398 -8.51956 1.06346 1.4486
511 11.4676 -8.52583 0.713468 1.50906
512 11.49 -8.5364 0.296084 1.36084
513 11.5071 -8.55216 -0.075457 0.941566
514 11.5195 -8.5736 -0.226534 0.449344
515 11.528 -8.6008 -0.191114 0.0815682
516 11.5338 -8.63335 -0.0670699 -0.147656
517 11.5383 -8.67042 0.0828826 -0.278683
518 11.5427 -8.71074 0.227112 -0.345965
519 11.5485 -8.75274 0.350326 -0.37238
520 11.5567 -8.7946 0.446343 -0.373258
521 11.5683 -8.8344 0.513898 -0.359681
522 11.5839 -8.87028 0.553003 -0.340569
523 11.6037 -8.90051 0.561811 -0.322943
524 11.6277 -8.92368 0.534628 -0.314065
525 11.6554 -8.93876 0.471079 -0.31792
526 11.6864 -8.94523 0.38754 -0.338664
527 11.7197 -8.94308 0.311288 -0.37566
528 11.7543 -8.93284 0.254795 -0.426274
529 11.7894 -8.91554 0.212076 -0.485869
530 11.824 -8.89268 0.168729 -0.549488
531 11.8573 -8.86608 0.109593 -0.612869
532 11.8889 -8.83779 0.0228089 -0.673643
533 11.9184 -8.80993 -0.0981828 -0.730148
534 11.9458 -8.78455 -0.251915 -0.7822
535 11.9713 -8.7635 -0.428767 -0.815186
536 11.9954 -8.74828 -0.59005 -0.813266
537 12.0187 -8.73992 -0.672292 -0.655392
538 12.0419 -8.73897 -0.562331 -0.357012
539 12.0658 -8.74539 -0.342922 0.0219736
540 12.0911 -8.7586 -0.136798 0.339695
541 12.1182 -8.77749 0.00366375 0.585196
542 12.1476 -8.80054 0.0804091 0.768393
543 12.1792 -8.8259 0.10624 0.898801
544 12.213 -8.85151 0.0972307 0.980777
545 12.2484 -8.8753 0.0706604 1.01757
546 12.2848 -8.89526 0.0450203 1.01188
547 12.3211 -8.90963 0.0398676 0.964564
548 12.3565 -8.917 0.0758751 0.872631
549 12.3899 -8.91643 0.168654 0.732271
550 12.4202 -8.90745 0.314994 0.554446
551 12.4466 -8.89014 0.480492 0.380303
552 12.4686 -8.86509 0.627536 0.253641
553 12.4859 -8.83334 0.743067 0.185572
554 12.4985 -8.79631 0.83218 0.160576
555 12.5068 -8.75569 0.904127 0.155868
556 12.5115 -8.7133 0.968581 0.15076
557 12.5138 -8.67097 1.03731 0.129689
558 12.515 -8.63042 1.12742 0.0843491
559 12.5164 -8.59311 1.26535 0.0132329
560 12.5196 -8.56019 1.48557 -0.0709477
561 12.5258 -8.53239 1.81565 -0.151188
562 12.5364 -8.51001 2.18271 -0.147363
563 12.5522 -8.49291 2.34847 -0.0469508
564 12.5736 -8.48054 2.20551 0.132883
565 12.6008 -8.47202 1.91991 0.304861
566 12.6334 -8.46618 1.61267 0.439371
567 12.6704 -8.46171 1.31905 0.528462
568 12.7107 -8.45725 1.0526 0.574801
569 12.7527 -8.45148 0.826069 0.587683
570 12.7946 -8.44326 0.652666 0.58407
571 12.8344 -8.43168 0.542174 0.587382
572 12.8703 -8.41613 0.497396 0.624349
573 12.9005 -8.39633 0.511114 0.718209
574 12.9237 -8.37234 0.561908 0.873961
575 12.9388 -8.34456 0.614567 1.05847
576 12.9452 -8.31361 0.642894 1.21163
577 12.9431 -8.28034 0.657325 1.30056
578 12.9328 -8.24568 0.690526 1.33454
579 12.9155 -8.21061 0.770786 1.33163
580 12.8927 -8.17603 0.915496 1.30018
581 12.8661 -8.14268 1.13427 1.23965
582 12.8378 -8.11111 1.43356 1.14575
